0.00216061	0.757453	0.0158738	0.0138429	
0.000337824	0.100828	0.0022406	0.00127129	
3.11781e-05	0.0386545	0.000182669	0.000510601	
2.10041e-05	0.00641244	5.40518e-05	0.000441542	
1.41034e-05	0.0908254	2.10484e-05	0.000283557	
9.18095e-06	0.0244931	8.24647e-06	0.0001823	
5.75409e-06	0.00323299	2.60862e-06	0.000115304	
3.84188e-06	0.00265556	1.60995e-06	7.64462e-05	
2.43111e-06	0.00390745	1.03194e-06	4.96543e-05	
1.62305e-06	0.00714181	6.8435e-07	3.31175e-05	
1.11519e-06	0.00141186	4.65614e-07	2.24176e-05	
7.35316e-07	0.000804183	3.06759e-07	1.47767e-05	
4.77829e-07	0.000580954	2.02943e-07	9.54006e-06	
3.21349e-07	0.000428339	1.33649e-07	6.35056e-06	
2.13914e-07	0.000337608	9.08561e-08	4.2029e-06	
1.48609e-07	0.000254288	5.90275e-08	2.84716e-06	
1.01029e-07	0.000194984	3.99442e-08	1.93051e-06	
6.48123e-08	0.000158421	2.72311e-08	1.23038e-06	
4.22744e-08	0.000111456	1.91584e-08	7.89872e-07	
2.82899e-08	8.13578e-05	3.20917e-08	5.12763e-07	
1.87517e-08	5.57963e-05	3.25156e-08	3.22534e-07	
6.20668e-08	3.62232e-05	2.90116e-07	1.42054e-06	
9.1046e-09	2.98733e-06	2.43909e-08	1.5757e-07	
4.45876e-09	1.16033e-06	1.15881e-08	5.36402e-08	
2.56357e-09	1.22068e-06	8.64261e-09	2.55274e-08	
1.84914e-09	1.13522e-06	9.52381e-09	2.23174e-08	
1.31342e-09	1.17068e-06	1.04002e-08	2.16552e-08	
9.06047e-10	3.10556e-09	1.14168e-08	1.29734e-08	
9.47548e-10	3.08679e-09	1.34846e-08	1.14424e-08	
1.45147e-09	1.13419e-06	1.45516e-08	2.25281e-08	
1.08551e-09	1.09029e-06	1.41189e-08	1.70197e-08	
1.0106e-09	3.34035e-09	1.45666e-08	1.24399e-08	
1.30133e-09	3.52376e-09	1.50418e-08	1.72289e-08	
1.59168e-09	1.3536e-06	1.65408e-08	2.10986e-08	
1.28427e-09	3.49434e-09	1.48751e-08	1.71954e-08	
1.01573e-09	3.43269e-09	1.44902e-08	1.25586e-08	
1.36366e-09	1.10179e-06	1.48979e-08	2.09167e-08	
1.00581e-09	3.55921e-09	1.45271e-08	1.21016e-08	
1.02951e-09	3.45489e-09	1.45515e-08	1.26756e-08	
1.27019e-09	3.43712e-09	1.48933e-08	1.70036e-08	
1.20731e-09	1.20249e-06	1.46293e-08	1.9201e-08	
1.28567e-09	3.56809e-09	1.49329e-08	1.70958e-08	
1.01767e-09	3.50368e-09	1.45143e-08	1.24922e-08	
1.01976e-09	3.43692e-09	1.45149e-08	1.25613e-08	
1.01669e-09	3.42652e-09	1.45044e-08	1.25755e-08	
