61	21	0
1200
100000
0		0.000867393	2.52977	11.0374	0.0152021				-1.72351				-3.8562				1.70903				55.228
1		0.000863004	2.63801	11.7928	0.015576				-1.72796				-3.81159				1.67286				55.8795
2		0.000864195	2.78602	12.8448	0.0160643				-1.72405				-3.72181				1.61448				55.7809
3		0.000868376	2.91938	13.8377	0.0165154				-1.70488				-3.62566				1.55531				55.0644
4		0.000872399	3.03211	14.7241	0.01692				-1.67901				-3.54938				1.5059				54.517
5		0.000877689	3.12976	15.528	0.0172871				-1.64556				-3.4814				1.46109				53.8952
6		0.000884537	3.21372	16.2579	0.0176268				-1.60586				-3.41927				1.41946				53.1786
7		0.000892479	3.28189	16.8823	0.0179235				-1.57346				-3.36031				1.38264				52.4304
8		0.000900773	3.33795	17.454	0.0182194				-1.54532				-3.29855				1.34629				51.5314
9		0.00090335	3.38624	18.0067	0.0185282				-1.51908				-3.23112				1.30856				50.4774
10		0.000908073	3.42885	18.5624	0.0188627				-1.49392				-3.15458				1.26787				49.2454
11		0.000914835	3.46663	19.1115	0.019209				-1.46766				-3.07264				1.22569				47.9333
12		0.000923288	3.49906	19.6417	0.019559				-1.43784				-2.98829				1.18294				46.5866
13		0.000933662	3.52637	20.1538	0.0199135				-1.4026				-2.90224				1.13955				45.218
14		0.000946044	3.54923	20.6494	0.0202717				-1.36109				-2.81485				1.09554				43.8466
15		0.000960511	3.56793	21.1252	0.0206302				-1.31283				-2.72703				1.05123				42.4939
16		0.000977193	3.58254	21.5769	0.0209853				-1.25733				-2.63974				1.00693				41.1756
17		0.000996353	3.59328	22.0025	0.0213354				-1.19416				-2.55354				0.962798				39.902
18		0.00101839	3.6009	22.4059	0.0216806				-1.12273				-2.46845				0.918788				38.6811
19		0.0010435	3.60666	22.7868	0.0220139				-1.04245				-2.38518				0.87524				37.5285
20		0.00107231	3.61142	23.145	0.0223305				-0.953087				-2.30536				0.832814				36.4679
21		0.00110491	3.61547	23.4792	0.0226274				-0.854677				-2.23074				0.792261				35.5173
22		0.00114187	3.61855	23.7803	0.0228982				-0.747754				-2.16297				0.754502				34.683
23		0.00118386	3.62013	24.0382	0.0231364				-0.6332				-2.10294				0.720309				33.9606
24		0.00123144	3.61976	24.2442	0.023337				-0.511886				-2.05166				0.690545				33.3481
25		0.00128564	3.61731	24.3922	0.0234955				-0.384616				-2.00995				0.666035				32.8442
26		0.00134744	3.61185	24.4769	0.0236127				-0.25217				-1.97885				0.647641				32.449
27		0.00141836	3.60339	24.4946	0.0236852				-0.115181				-1.95903				0.636131				32.1636
28		0.00150084	3.59424	24.461	0.023713				0.0272008				-1.95084				0.63207				32.0126
29		0.00150092	3.59137	24.428	0.0236999				0.175716				-1.95607				0.636432				32.0842
30		0.00141557	3.59377	24.3841	0.0236415				0.323757				-1.97335				0.648828				32.3582
31		0.00134096	3.59393	24.2821	0.0235415				0.469546				-2.00396				0.669226				32.7856
32		0.00127549	3.58968	24.087	0.02338				0.613699				-2.04574				0.696844				33.3173
33		0.00121765	3.58282	23.8312	0.023176				0.75404				-2.09972				0.7311				34.0038
34		0.00116657	3.57626	23.527	0.0229221				0.888721				-2.16642				0.771586				34.8791
35		0.00112137	3.57079	23.1819	0.0226205				1.0162				-2.24534				0.817503				35.9618
36		0.00108123	3.56454	22.7927	0.0222797				1.13616				-2.33455				0.867765				37.2422
37		0.00104542	3.55449	22.3464	0.0219053				1.24904				-2.43042				0.921074				38.6756
38		0.00101347	3.53743	21.8305	0.0215027				1.35513				-2.53251				0.977179				40.2462
39		0.000984562	3.51192	21.2492	0.0210822				1.45431				-2.64214				1.03624				41.9815
40		0.000958274	3.47883	20.5998	0.0206323				1.5458				-2.76129				1.09908				43.9333
41		0.000934669	3.44052	19.8921	0.0201453				1.62797				-2.89047				1.16602				46.1624
42		0.000913357	3.39912	19.1411	0.0196208				1.6992				-3.02886				1.2369				48.7245
43		0.000894331	3.35626	18.3557	0.019056				1.75866				-3.17612				1.31204				51.7006
44		0.000877441	3.31394	17.5502	0.0184525				1.8056				-3.33037				1.39129				55.1694
45		0.000862725	3.2741	16.7512	0.0178268				1.83966				-3.48656				1.47296				59.1404
46		0.000850241	3.23706	15.9804	0.0172011				1.86189				-3.63907				1.55489				63.5521
47		0.00084003	3.20341	15.2535	0.0165911				1.87496				-3.78313				1.63532				68.3292
48		0.000832269	3.17301	14.599	0.0160314				1.87866				-3.9131				1.71029				73.1885
49		0.000826837	3.14039	14.0409	0.0155787				1.87724				-4.02071				1.7736				77.4889
50		0.0008233	3.09628	13.5089	0.0152019				1.8768				-4.11303				1.82928				81.1797
51		0.000820674	3.03171	12.9035	0.0148299				1.88274				-4.20428				1.88714				84.7626
52		0.000814632	2.94464	12.1722	0.0144031				1.89681				-4.30508				1.95557				88.889
53		0.000805128	2.83782	11.3613	0.0139496				1.91691				-4.41043				2.03128				93.3317
54		0.00079678	2.71426	10.4831	0.0134572				1.94484				-4.51684				2.11487				98.1179
55		0.00079034	2.58034	9.59204	0.0129525				1.96465				-4.62328				2.202				102.886
56		0.000786109	2.44404	8.73447	0.0124522				1.96935				-4.72574				2.28883				107.325
57		0.000784802	2.31482	7.96747	0.0119928				1.95486				-4.81218				2.36616				110.487
58		0.000786711	2.19942	7.32954	0.0116115				1.9232				-4.87314				2.42545				111.501
59		0.000792489	2.10904	6.85455	0.0113243				1.89148				-4.89573				2.46046				110.125
60		0.0010789	2.80817	10.7887	0.0133864				-1.57746				-4.17613				1.92486				75.1244
61		0.00107893	2.82416	10.8511	0.0133876				-1.54455				-4.16545				1.91549				74.471
62		0.00108251	2.83289	10.8741	0.0133746				-1.49728				-4.15256				1.90419				73.3373
