r,x,y,Mach_Number,Pressure,Density,Speed,V_Velocity,U_Velocity
1.021870221699607839e+00,3.344055000000003761e-03,1.021864749999999988e+00,2.659469999999999890e-02,5.443229999999999791e+01,5.828020000000000422e+00,9.616731149449900262e-02,9.495620000000000449e-02,1.521420000000000064e-02
1.065620705956486614e+00,3.487224999999949306e-03,1.065615000000000201e+00,2.658399999999999999e-02,5.106280000000000285e+01,6.748319999999999652e+00,8.652453332373424844e-02,8.404649999999999621e-02,2.055919999999999970e-02
1.109370940214703838e+00,3.630394999999923041e-03,1.109364999999999934e+00,5.619530000000000358e-01,2.897370000000000090e+01,5.314300000000000246e+00,1.552535563947493147e+00,-1.551060000000000105e+00,6.767239999999999367e-02
1.153118674486307560e+00,3.773564999999896342e-03,1.153112499999999985e+00,7.964130000000000000e+06,9.999999999999999799e-13,2.422860000000000014e+00,6.053934120016833731e+00,-6.048939999999999984e+00,-2.458519999999999872e-01
1.196866408757911504e+00,3.916734999999954212e-03,1.196860000000000035e+00,8.578969999999999985e+00,5.327560000000000073e-01,1.488469999999999960e+00,6.072851389912453435e+00,-6.072250000000000369e+00,-8.546310000000000018e-02
1.240616643016128950e+00,4.059905000000009478e-03,1.240609999999999991e+00,6.019700000000000273e+00,9.948179999999999801e-01,1.399999999999999911e+00,6.004080144611476655e+00,-6.004080000000000084e+00,-1.317770000000000009e-03
1.284366877282527408e+00,4.203077499999956744e-03,1.284359999999999946e+00,6.001109999999999722e+00,9.996390000000000553e-01,1.399880000000000013e+00,6.000280000147671267e+00,-6.000280000000000058e+00,-4.209669999999999965e-05
1.328117111548926088e+00,4.346249999999930030e-03,1.328110000000000124e+00,5.999360000000000248e+00,1.000180000000000069e+00,1.399980000000000002e+00,5.999930000025396559e+00,-5.999929999999999986e+00,1.745719999999999949e-05
1.371867345807143534e+00,4.489419999999903765e-03,1.371860000000000079e+00,5.999959999999999738e+00,9.999900000000000455e-01,1.399969999999999937e+00,6.000000000025160318e+00,-6.000000000000000000e+00,1.737600000000000101e-05
1.415617580065360759e+00,4.632589999999959900e-03,1.415610000000000035e+00,6.000070000000000014e+00,9.999869999999999592e-01,1.400030000000000108e+00,5.999980000009313308e+00,-5.999979999999999869e+00,-1.057150000000000034e-05
1.459367814323578205e+00,4.775760000000016901e-03,1.459359999999999991e+00,6.000000000000000000e+00,9.999989999999999712e-01,1.399990000000000068e+00,6.000020000000819032e+00,-6.000020000000000131e+00,3.134570000000000043e-06
1.503118048581795430e+00,4.918929999999962881e-03,1.503109999999999946e+00,6.000009999999999621e+00,9.999959999999999960e-01,1.399999999999999911e+00,5.999990000000104295e+00,-5.999990000000000379e+00,-1.117449999999999991e-06
1.546868282864556576e+00,5.062107499999937005e-03,1.546860000000000124e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000010658e+00,-6.000000000000000000e+00,3.559949999999999793e-07
1.590618517114592789e+00,5.205274999999880831e-03,1.590610000000000079e+00,6.000000000000000000e+00,9.999989999999999712e-01,1.399999999999999911e+00,6.000000000000000888e+00,-6.000000000000000000e+00,-7.789919999999999917e-08
1.634366251402558756e+00,5.348449999999938670e-03,1.634357499999999908e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,1.381919999999999918e-09
1.678113985690525389e+00,5.491625000000023397e-03,1.678104999999999958e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,3.572990000000000087e-09
1.721864219883292968e+00,5.634774999999969496e-03,1.721855000000000135e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,-2.154569999999999933e-09
1.765614454157872437e+00,5.777949999999943201e-03,1.765604999999999869e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,1.379140000000000058e-09
1.809364688432452350e+00,5.921124999999888283e-03,1.809354999999999825e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,-8.458610000000000220e-10
1.853114922707032264e+00,6.064299999999945255e-03,1.853105000000000002e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,4.344559999999999833e-10
1.896865156981611955e+00,6.207475000000029983e-03,1.896854999999999958e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,-3.057330000000000133e-10
