r,x,y,Mach_Number,Pressure,Density,Speed,V_Velocity,U_Velocity
2.334362499590558304e+00,7.639175000000071776e-03,2.334349999999999703e+00,5.998800000000000132e+00,1.000529999999999919e+00,1.400400000000000089e+00,5.999520000870763425e+00,-5.999520000000000408e+00,1.022170000000000007e-04
2.378112733865138662e+00,7.782350000000016858e-03,2.378100000000000325e+00,6.002309999999999590e+00,9.992959999999999621e-01,1.399890000000000079e+00,6.000430000970077060e+00,-6.000429999999999708e+00,-1.078970000000000005e-04
2.421862968139718131e+00,7.925524999999909032e-03,2.421850000000000058e+00,5.998820000000000263e+00,1.000210000000000043e+00,1.399780000000000024e+00,5.999910001948306260e+00,-5.999909999999999854e+00,-1.529029999999999962e-04
2.465613202332486154e+00,8.068674999999853395e-03,2.465600000000000236e+00,5.996450000000000280e+00,1.001290000000000013e+00,1.400460000000000038e+00,5.999330005441223967e+00,-5.999329999999999607e+00,-2.555139999999999799e-04
2.509363436607065623e+00,8.211849999999965011e-03,2.509349999999999969e+00,6.002699999999999925e+00,9.994349999999999623e-01,1.400300000000000100e+00,6.000360024184652197e+00,-6.000359999999999694e+00,-5.387330000000000070e-04
2.553111170895031812e+00,8.355025000000078361e-03,2.553097499999999798e+00,6.002390000000000114e+00,9.988139999999999796e-01,1.399189999999999934e+00,6.000570039212608009e+00,-6.000569999999999737e+00,-6.859999999999999779e-04
2.596858905182998445e+00,8.498200000000023444e-03,2.596845000000000070e+00,5.999080000000000190e+00,9.998449999999999838e-01,1.399410000000000043e+00,5.999870002153158133e+00,-5.999869999999999592e+00,-1.607400000000000094e-04
2.640609139457577914e+00,8.641374999999914749e-03,2.640594999999999803e+00,5.998190000000000133e+00,1.000459999999999905e+00,1.400009999999999977e+00,5.999540005468154469e+00,-5.999539999999999651e+00,2.561500000000000192e-04
2.684359373650345049e+00,8.784524999999860848e-03,2.684344999999999537e+00,5.999920000000000364e+00,1.000099999999999989e+00,1.400179999999999980e+00,5.999850000556745222e+00,-5.999850000000000350e+00,-8.173600000000000483e-05
2.728109607924925406e+00,8.927699999999972463e-03,2.728095000000000159e+00,6.002570000000000405e+00,9.992959999999999621e-01,1.399980000000000002e+00,6.000490004729948090e+00,-6.000490000000000101e+00,-2.382519999999999950e-04
2.771859842199504875e+00,9.070875000000085814e-03,2.771844999999999892e+00,5.999450000000000394e+00,1.000189999999999912e+00,1.400020000000000042e+00,5.999970001007238984e+00,-5.999970000000000248e+00,1.099399999999999943e-04
2.815610076474085233e+00,9.214050000000030896e-03,2.815595000000000070e+00,5.998879999999999768e+00,1.000510000000000010e+00,1.400300000000000100e+00,5.999780014985204524e+00,-5.999780000000000335e+00,4.240469999999999873e-04
2.859360310748664702e+00,9.357224999999918733e-03,2.859344999999999803e+00,6.002169999999999561e+00,9.993720000000000381e-01,1.399920000000000053e+00,6.000460000238094338e+00,-6.000460000000000349e+00,-5.345420000000000060e-05
2.903110544941431836e+00,9.500374999999866565e-03,2.903094999999999537e+00,5.996929999999999872e+00,1.000760000000000094e+00,1.399820000000000064e+00,5.999590002159775004e+00,-5.999590000000000423e+00,-1.609829999999999866e-04
2.946860779216012194e+00,9.643549999999979916e-03,2.946845000000000159e+00,5.997180000000000177e+00,1.001020000000000021e+00,1.400449999999999973e+00,5.999270007456472875e+00,-5.999270000000000103e+00,2.991100000000000009e-04
2.990611013490591663e+00,9.786725000000036020e-03,2.990594999999999892e+00,6.004019999999999690e+00,9.990409999999999568e-01,1.400150000000000006e+00,6.000820006918880622e+00,-6.000820000000000043e+00,2.881630000000000259e-04
3.034358747778558296e+00,9.929899999999982838e-03,3.034342500000000165e+00,6.003409999999999691e+00,9.986209999999999809e-01,1.399299999999999988e+00,6.000770001788242602e+00,-6.000770000000000159e+00,-1.464980000000000058e-04
3.078106482066524485e+00,1.007307499999992619e-02,3.078089999999999993e+00,5.997729999999999784e+00,1.000590000000000090e+00,1.400020000000000042e+00,5.999450002435577467e+00,-5.999450000000000394e+00,-1.709509999999999968e-04
3.121856716259292064e+00,1.021622499999987402e-02,3.121839999999999726e+00,5.996190000000000353e+00,1.001419999999999977e+00,1.400600000000000067e+00,5.999140001298314040e+00,-5.999139999999999695e+00,1.248099999999999926e-04
3.165606950533871977e+00,1.035939999999998390e-02,3.165589999999999904e+00,6.002500000000000391e+00,9.992900000000000116e-01,1.399929999999999897e+00,6.000520000013409572e+00,-6.000519999999999854e+00,-1.268579999999999973e-05
3.209357184808451890e+00,1.050257500000004347e-02,3.209340000000000082e+00,6.003040000000000376e+00,9.988620000000000276e-01,1.399450000000000083e+00,6.000800001159018571e+00,-6.000799999999999912e+00,-1.179410000000000012e-04
3.253107419083031804e+00,1.064574999999998856e-02,3.253090000000000259e+00,5.997770000000000046e+00,1.000660000000000105e+00,1.400069999999999926e+00,5.999600005088251642e+00,-5.999600000000000044e+00,2.470929999999999871e-04
3.296857653357611273e+00,1.078892499999993364e-02,3.296839999999999993e+00,5.997650000000000148e+00,1.000939999999999941e+00,1.400509999999999922e+00,5.999370000036416073e+00,-5.999369999999999870e+00,2.090330000000000026e-05
3.340607887632190742e+00,1.093209999999988219e-02,3.340589999999999726e+00,6.001739999999999853e+00,9.995020000000000016e-01,1.399969999999999937e+00,6.000310003975511286e+00,-6.000309999999999810e+00,-2.184230000000000058e-04
