r,x,y,Mach_Number,Pressure,Density,Speed,V_Velocity,U_Velocity
1.546868282864556576e+00,5.062107499999937005e-03,1.546860000000000124e+00,2.501609999999999889e+00,5.542229999999999990e+00,2.381069999999999798e+00,4.515841055694288286e+00,-4.515839999999999854e+00,3.087830000000000175e-03
1.590618517114592789e+00,5.205274999999880831e-03,1.590610000000000079e+00,3.946740000000000137e+00,2.404339999999999922e+00,1.820189999999999975e+00,5.367130174759481065e+00,-5.367130000000000400e+00,1.369640000000000093e-03
1.634366251402558756e+00,5.348449999999938670e-03,1.634357499999999908e+00,5.350579999999999892e+00,1.300729999999999942e+00,1.538569999999999993e+00,5.821020014695219125e+00,-5.821019999999999861e+00,4.136209999999999757e-04
1.678113985690525389e+00,5.491625000000023397e-03,1.678104999999999958e+00,5.888810000000000322e+00,1.051290000000000058e+00,1.434690000000000021e+00,5.964520000696160729e+00,-5.964520000000000266e+00,9.112920000000000157e-05
1.721864219883292968e+00,5.634774999999969496e-03,1.721855000000000135e+00,5.984060000000000379e+00,1.008350000000000080e+00,1.406989999999999963e+00,5.994030000021218108e+00,-5.994030000000000413e+00,1.594879999999999882e-05
1.765614454157872437e+00,5.777949999999943201e-03,1.765604999999999869e+00,5.997659999999999769e+00,1.001349999999999962e+00,1.401250000000000107e+00,5.999030000000568741e+00,-5.999030000000000307e+00,2.610860000000000021e-06
1.809364688432452350e+00,5.921124999999888283e-03,1.809354999999999825e+00,5.999640000000000306e+00,1.000220000000000109e+00,1.400209999999999955e+00,5.999840000000014939e+00,-5.999839999999999840e+00,4.200129999999999904e-07
1.853114922707032264e+00,6.064299999999945255e-03,1.853105000000000002e+00,5.999939999999999607e+00,1.000040000000000040e+00,1.400030000000000108e+00,5.999970000000000248e+00,-5.999970000000000248e+00,6.663730000000000604e-08
1.896865156981611955e+00,6.207475000000029983e-03,1.896854999999999958e+00,5.999990000000000379e+00,1.000010000000000066e+00,1.400009999999999977e+00,6.000000000000000000e+00,-6.000000000000000000e+00,9.885680000000000546e-09
1.940615391174379756e+00,6.350624999999976948e-03,1.940605000000000135e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,2.089070000000000108e-09
1.984365625448959225e+00,6.493799999999894275e-03,1.984354999999999869e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,2.182900000000000031e-10
2.028115859723539138e+00,6.636974999999840225e-03,2.028105000000000047e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,3.195030000000000210e-11
2.071866093998118608e+00,6.780149999999952708e-03,2.071854999999999780e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,5.055520000000000253e-12
2.115613828286084797e+00,6.923325000000065191e-03,2.115602499999999608e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,4.373580000000000232e-13
2.159361562492239539e+00,7.066475000000009554e-03,2.159350000000000325e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,-2.999070000000000165e-13
2.203111796766819452e+00,7.209649999999900860e-03,2.203100000000000058e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,-2.007280000000000069e-14
2.246862031041399366e+00,7.352824999999847677e-03,2.246850000000000236e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,-7.432060000000000311e-16
2.290612265315978835e+00,7.495999999999959293e-03,2.290599999999999969e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,1.742250000000000059e-15
2.334362499590558304e+00,7.639175000000071776e-03,2.334349999999999703e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,2.448740000000000028e-15
2.378112733865138662e+00,7.782350000000016858e-03,2.378100000000000325e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,2.438040000000000071e-15
2.421862968139718131e+00,7.925524999999909032e-03,2.421850000000000058e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,2.498639999999999912e-15
2.465613202332486154e+00,8.068674999999853395e-03,2.465600000000000236e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,2.453829999999999880e-15
2.509363436607065623e+00,8.211849999999965011e-03,2.509349999999999969e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,2.407209999999999923e-15
2.553111170895031812e+00,8.355025000000078361e-03,2.553097499999999798e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,2.418939999999999820e-15
2.596858905182998445e+00,8.498200000000023444e-03,2.596845000000000070e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,2.372139999999999927e-15
2.640609139457577914e+00,8.641374999999914749e-03,2.640594999999999803e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,2.386359999999999989e-15
2.684359373650345049e+00,8.784524999999860848e-03,2.684344999999999537e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,2.347469999999999863e-15
2.728109607924925406e+00,8.927699999999972463e-03,2.728095000000000159e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,2.309380000000000067e-15
2.771859842199504875e+00,9.070875000000085814e-03,2.771844999999999892e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,2.318480000000000156e-15
2.815610076474085233e+00,9.214050000000030896e-03,2.815595000000000070e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,2.281390000000000178e-15
2.859360310748664702e+00,9.357224999999918733e-03,2.859344999999999803e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,2.291619999999999952e-15
2.903110544941431836e+00,9.500374999999866565e-03,2.903094999999999537e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,2.256740000000000063e-15
2.946860779216012194e+00,9.643549999999979916e-03,2.946845000000000159e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,2.236589999999999923e-15
2.990611013490591663e+00,9.786725000000036020e-03,2.990594999999999892e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,2.275160000000000075e-15
3.034358747778558296e+00,9.929899999999982838e-03,3.034342500000000165e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,2.242209999999999806e-15
3.078106482066524485e+00,1.007307499999992619e-02,3.078089999999999993e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,2.210140000000000056e-15
3.121856716259292064e+00,1.021622499999987402e-02,3.121839999999999726e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,2.179309999999999908e-15
3.165606950533871977e+00,1.035939999999998390e-02,3.165589999999999904e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,2.148759999999999835e-15
3.209357184808451890e+00,1.050257500000004347e-02,3.209340000000000082e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,2.158889999999999864e-15
3.253107419083031804e+00,1.064574999999998856e-02,3.253090000000000259e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,2.090569999999999969e-15
3.296857653357611273e+00,1.078892499999993364e-02,3.296839999999999993e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,2.101179999999999958e-15
3.340607887632190742e+00,1.093209999999988219e-02,3.340589999999999726e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,2.035440000000000195e-15
3.384358121906770656e+00,1.107527499999999207e-02,3.384339999999999904e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,2.046550000000000093e-15
3.428108356099538678e+00,1.121842500000004919e-02,3.428090000000000082e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,1.983070000000000095e-15
3.471858590374118592e+00,1.136159999999999427e-02,3.471840000000000259e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,1.921459999999999869e-15
3.515606324662084781e+00,1.150477499999994109e-02,3.515587500000000087e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,1.933530000000000083e-15
3.559354058950050970e+00,1.164794999999988617e-02,3.559334999999999916e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,1.873989999999999908e-15
3.603104293224630883e+00,1.179112499999999952e-02,3.603085000000000093e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,1.886229999999999886e-15
3.646854527417398462e+00,1.193427500000005664e-02,3.646835000000000271e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,1.828710000000000088e-15
3.690604761691977931e+00,1.207745000000000173e-02,3.690585000000000004e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,1.772450000000000037e-15
3.734354995966558288e+00,1.222062499999994854e-02,3.734335000000000182e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,1.785630000000000184e-15
3.778105230241137757e+00,1.236379999999989363e-02,3.778084999999999916e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,1.731110000000000040e-15
3.821855464515717671e+00,1.250697500000000698e-02,3.821835000000000093e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,1.744490000000000072e-15
3.865605698708485249e+00,1.265012500000006410e-02,3.865585000000000271e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,1.691770000000000075e-15
3.909355932983064719e+00,1.279330000000000918e-02,3.909335000000000004e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,1.640370000000000068e-15
3.953103667271030908e+00,1.293647499999995426e-02,3.953082499999999833e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,1.654099999999999998e-15
3.996851401558997541e+00,1.307964999999989934e-02,3.996830000000000105e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,1.604300000000000056e-15
4.040601635833577454e+00,1.322282500000001269e-02,4.040580000000000283e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,1.618179999999999998e-15
4.084351870108156923e+00,1.336600000000001329e-02,4.084329999999999572e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,1.569850000000000058e-15
4.128102104382737281e+00,1.350917500000001562e-02,4.128080000000000638e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,1.583710000000000051e-15
4.171852338575503971e+00,1.365232500000012825e-02,4.171829999999999927e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,1.536490000000000045e-15
4.215602572850084329e+00,1.379550000000001782e-02,4.215580000000000105e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.399999999999999911e+00,6.000000000000000000e+00,-6.000000000000000000e+00,1.490469999999999940e-15
