r,x,y,Mach_Number,Pressure,Density,Speed,V_Velocity,U_Velocity
1.021870221699607839e+00,3.344055000000003761e-03,1.021864749999999988e+00,2.455260000000000081e-02,4.460340000000000060e+01,7.402459999999999596e+00,7.131114794904089282e-02,-7.058409999999999684e-02,1.015699999999999936e-02
1.065620705956486614e+00,3.487224999999949306e-03,1.065615000000000201e+00,6.877479999999999705e-02,4.447670000000000101e+01,7.395030000000000214e+00,1.995674767910565750e-01,-1.993320000000000092e-01,9.691830000000000236e-03
1.109370940214703838e+00,3.630394999999923041e-03,1.109364999999999934e+00,1.097100000000000020e-01,4.426069999999999993e+01,7.381990000000000052e+00,3.178584498097493105e-01,-3.177240000000000064e-01,9.244129999999999708e-03
1.153118674486307560e+00,3.773564999999896342e-03,1.153112499999999985e+00,1.477509999999999935e-01,4.397520000000000095e+01,7.363150000000000084e+00,4.272352579504645753e-01,-4.271440000000000237e-01,8.829999999999999308e-03
1.196866408757911504e+00,3.916734999999954212e-03,1.196860000000000035e+00,1.833200000000000107e-01,4.363539999999999708e+01,7.338269999999999627e+00,5.289265488474212962e-01,-5.288589999999999680e-01,8.452940000000000800e-03
1.240616643016128950e+00,4.059905000000009478e-03,1.240609999999999991e+00,2.167880000000000085e-01,4.325209999999999866e+01,7.307290000000000063e+00,6.240566692945299643e-01,-6.240040000000000031e-01,8.107680000000000789e-03
1.284366877282527408e+00,4.203077499999956744e-03,1.284359999999999946e+00,2.485229999999999939e-01,4.282979999999999876e+01,7.269960000000000200e+00,7.137374807898103635e-01,-7.136949999999999683e-01,7.787070000000000103e-03
1.328117111548926088e+00,4.346249999999930030e-03,1.328110000000000124e+00,2.790480000000000183e-01,4.235900000000000176e+01,7.224809999999999732e+00,7.994699713389715745e-01,-7.994350000000000067e-01,7.477690000000000378e-03
1.371867345807143534e+00,4.489419999999903765e-03,1.371860000000000079e+00,3.094620000000000148e-01,4.179440000000000310e+01,7.166280000000000427e+00,8.842680579064836621e-01,-8.842389999999999972e-01,7.168619999999999680e-03
1.415617580065360759e+00,4.632589999999959900e-03,1.415610000000000035e+00,3.424730000000000274e-01,4.100500000000000256e+01,7.078509999999999636e+00,9.753010887111168703e-01,-9.752769999999999495e-01,6.854700000000000029e-03
1.459367814323578205e+00,4.775760000000016901e-03,1.459359999999999991e+00,3.845040000000000124e-01,3.968269999999999698e+01,6.923700000000000188e+00,1.089169612024143197e+00,-1.089150000000000063e+00,6.536150000000000120e-03
